term,locale
the,en
and,en
that,en
for,en
was,en
not,en
with,en
you,en
his,en
this,en
are,en
her,en
from,en
she,en
had,en
but,en
have,en
they,en
were,en
one,en
all,en
can,en
which,en
their,en
what,en
there,en
when,en
would,en
him,en
more,en
will,en
been,en
out,en
about,en
who,en
has,en
into,en
time,en
other,en
them,en
your,en
said,en
could,en
did,en
then,en
some,en
these,en
also,en
like,en
than,en
its,en
may,en
only,en
see,en
new,en
how,en
two,en
such,en
over,en
our,en
first,en
any,en
just,en
after,en
back,en
now,en
through,en
even,en
people,en
where,en
well,en
most,en
between,en
way,en
because,en
know,en
should,en
before,en
many,en
down,en
very,en
made,en
life,en
work,en
those,en
here,en
get,en
use,en
make,en
being,en
good,en
much,en
each,en
both,en
man,en
right,en
while,en
used,en
world,en
same,en
must,en
long,en
years,en
still,en
day,en
own,en
does,en
too,en
under,en
take,en
another,en
part,en
state,en
little,en
however,en
off,en
three,en
around,en
think,en
need,en
never,en
come,en
might,en
different,en
again,en
without,en
God,en
system,en
going,en
want,en
hand,en
social,en
during,en
place,en
thought,en
against,en
something,en
found,en
high,en
case,en
say,en
why,en
away,en
information,en
head,en
within,en
let,en
eyes,en
number,en
left,en
old,en
every,en
great,en
example,en
since,en
data,en
came,en
men,en
set,en
look,en
children,en
water,en
university,en
few,en
face,en
research,en
chapter,en
small,en
things,en
year,en
based,en
find,en
end,en
human,en
last,en
home,en
always,en
power,en
asked,en
figure,en
often,en
order,en
family,en
important,en
using,en
women,en
process,en
house,en
point,en
though,en
law,en
took,en
states,en
called,en
looked,en
second,en
public,en
given,en
got,en
help,en
once,en
body,en
until,en
change,en
put,en
development,en
went,en
room,en
group,en
next,en
general,en
love,en
form,en
side,en
following,en
give,en
large,en
less,en
told,en
better,en
knew,en
yet,en
table,en
control,en
upon,en
later,en
study,en
others,en
himself,en
school,en
press,en
war,en
rather,en
best,en
government,en
book,en
American,en
person,en
business,en
nothing,en
tell,en
fact,en
mind,en
although,en
really,en
level,en
early,en
father,en
national,en
political,en
name,en
shall,en
thus,en
felt,en
words,en
enough,en
among,en
seen,en
far,en
course,en
night,en
health,en
history,en
making,en
together,en
open,en
times,en
possible,en
door,en
value,en
mother,en
young,en
several,en
model,en
self,en
light,en
four,en
days,en
care,en
become,en
thing,en
having,en
saw,en
ever,en
least,en
whether,en
international,en
white,en
woman,en
section,en
sure,en
wanted,en
means,en
